Product Name,Product Category,Stocks Required-2023-12-01,Stocks Required-2024-01-01,Stocks Required-2024-02-01,Stocks Required-2024-03-01,Stocks Required-2024-04-01,Stocks Required-2024-05-01,Stocks Required-2024-06-01,Stocks Required-2024-07-01,Stocks Required-2024-08-01,Stocks Required-2024-09-01,Stocks Required-2024-10-01,Stocks Required-2024-11-01,Stocks Required-2024-12-01,Stock Level Thresholds-Dec-2023,"Stock Level Thresholds-Jan-2024,",Stock Level Thresholds-Feb-2024,Stock Level Thresholds-Mar-2024,Stock Level Thresholds-Apr-2024,Stock Level Thresholds-May-2024,Stock Level Thresholds-Jun-2024,Stock Level Thresholds-Jul-2024,Stock Level Thresholds-Aug-2024,Stock Level Thresholds-Sep-2024,Stock Level Thresholds-Oct-2024,Stock Level Thresholds-Nov-2024,Stock Level Thresholds-Dec-2024,Seasonality-Dec-2023,"Seasonality-Jan-2024,",Seasonality-Feb-2024,Seasonality-Mar-2024,Seasonality-Apr-2024,Seasonality-May-2024,Seasonality-Jun-2024,Seasonality-Jul-2024,Seasonality-Aug-2024,Seasonality-Sep-2024,Seasonality-Oct-2024,Seasonality-Nov-2024,Seasonality-Dec-2024,Market Changes-Dec-2023,"Market Changes-Jan-2024,",Market Changes-Feb-2024,Market Changes-Mar-2024,Market Changes-Apr-2024,Market Changes-May-2024,Market Changes-Jun-2024,Market Changes-Jul-2024,Market Changes-Aug-2024,Market Changes-Sep-2024,Market Changes-Oct-2024,Market Changes-Nov-2024,Market Changes-Dec-2024,Product Type-Dec-2023,"Product Type-Jan-2024,",Product Type-Feb-2024,Product Type-Mar-2024,Product Type-Apr-2024,Product Type-May-2024,Product Type-Jun-2024,Product Type-Jul-2024,Product Type-Aug-2024,Product Type-Sep-2024,Product Type-Oct-2024,Product Type-Nov-2024,Product Type-Dec-2024,Lead time (in days)-Dec-2023,"Lead time (in days)-Jan-2024,",Lead time (in days)-Feb-2024,Lead time (in days)-Mar-2024,Lead time (in days)-Apr-2024,Lead time (in days)-May-2024,Lead time (in days)-Jun-2024,Lead time (in days)-Jul-2024,Lead time (in days)-Aug-2024,Lead time (in days)-Sep-2024,Lead time (in days)-Oct-2024,Lead time (in days)-Nov-2024,Lead time (in days)-Dec-2024,Supplier Reliabilty-Dec-2023,"Supplier Reliabilty-Jan-2024,",Supplier Reliabilty-Feb-2024,Supplier Reliabilty-Mar-2024,Supplier Reliabilty-Apr-2024,Supplier Reliabilty-May-2024,Supplier Reliabilty-Jun-2024,Supplier Reliabilty-Jul-2024,Supplier Reliabilty-Aug-2024,Supplier Reliabilty-Sep-2024,Supplier Reliabilty-Oct-2024,Supplier Reliabilty-Nov-2024,Supplier Reliabilty-Dec-2024,Stock Handing Efficiency-Dec-2023,"Stock Handing Efficiency-Jan-2024,",Stock Handing Efficiency-Feb-2024,Stock Handing Efficiency-Mar-2024,Stock Handing Efficiency-Apr-2024,Stock Handing Efficiency-May-2024,Stock Handing Efficiency-Jun-2024,Stock Handing Efficiency-Jul-2024,Stock Handing Efficiency-Aug-2024,Stock Handing Efficiency-Sep-2024,Stock Handing Efficiency-Oct-2024,Stock Handing Efficiency-Nov-2024,Stock Handing Efficiency-Dec-2024,Product Costs(In Rs.)-Dec-2023,"Product Costs(In Rs.)-Jan-2024,",Product Costs(In Rs.)-Feb-2024,Product Costs(In Rs.)-Mar-2024,Product Costs(In Rs.)-Apr-2024,Product Costs(In Rs.)-May-2024,Product Costs(In Rs.)-Jun-2024,Product Costs(In Rs.)-Jul-2024,Product Costs(In Rs.)-Aug-2024,Product Costs(In Rs.)-Sep-2024,Product Costs(In Rs.)-Oct-2024,Product Costs(In Rs.)-Nov-2024,Product Costs(In Rs.)-Dec-2024,Maximum discount offered (in percentage)-Dec-2023,"Maximum discount offered (in percentage)-Jan-2024,",Maximum discount offered (in percentage)-Feb-2024,Maximum discount offered (in percentage)-Mar-2024,Maximum discount offered (in percentage)-Apr-2024,Maximum discount offered (in percentage)-May-2024,Maximum discount offered (in percentage)-Jun-2024,Maximum discount offered (in percentage)-Jul-2024,Maximum discount offered (in percentage)-Aug-2024,Maximum discount offered (in percentage)-Sep-2024,Maximum discount offered (in percentage)-Oct-2024,Maximum discount offered (in percentage)-Nov-2024,Maximum discount offered (in percentage)-Dec-2024,Products Expiry (in months)-Dec-2023,"Products Expiry (in months)-Jan-2024,",Products Expiry (in months)-Feb-2024,Products Expiry (in months)-Mar-2024,Products Expiry (in months)-Apr-2024,Products Expiry (in months)-May-2024,Products Expiry (in months)-Jun-2024,Products Expiry (in months)-Jul-2024,Products Expiry (in months)-Aug-2024,Products Expiry (in months)-Sep-2024,Products Expiry (in months)-Oct-2024,Products Expiry (in months)-Nov-2024,Products Expiry (in months)-Dec-2024,Backorders-Dec-2023,"Backorders-Jan-2024,",Backorders-Feb-2024,Backorders-Mar-2024,Backorders-Apr-2024,Backorders-May-2024,Backorders-Jun-2024,Backorders-Jul-2024,Backorders-Aug-2024,Backorders-Sep-2024,Backorders-Oct-2024,Backorders-Nov-2024,Backorders-Dec-2024,Bulk orders (By customers)-Dec-2023,"Bulk orders (By customers)-Jan-2024,",Bulk orders (By customers)-Feb-2024,Bulk orders (By customers)-Mar-2024,Bulk orders (By customers)-Apr-2024,Bulk orders (By customers)-May-2024,Bulk orders (By customers)-Jun-2024,Bulk orders (By customers)-Jul-2024,Bulk orders (By customers)-Aug-2024,Bulk orders (By customers)-Sep-2024,Bulk orders (By customers)-Oct-2024,Bulk orders (By customers)-Nov-2024,Bulk orders (By customers)-Dec-2024,Profit gained (In Rs.)-Dec-2023,"Profit gained (In Rs.)-Jan-2024,",Profit gained (In Rs.)-Feb-2024,Profit gained (In Rs.)-Mar-2024,Profit gained (In Rs.)-Apr-2024,Profit gained (In Rs.)-May-2024,Profit gained (In Rs.)-Jun-2024,Profit gained (In Rs.)-Jul-2024,Profit gained (In Rs.)-Aug-2024,Profit gained (In Rs.)-Sep-2024,Profit gained (In Rs.)-Oct-2024,Profit gained (In Rs.)-Nov-2024,Profit gained (In Rs.)-Dec-2024
Maggi,Foods and Beverages,288,166,470,431,493,244,267,228,353,451,265,348,309,143,57,158,129,158,102,78,66,146,219,128,141,152,good,good,best,best,best,good,good,good,best,best,good,best,good,Minimal,Good,Average,Extreme,Extreme,Extreme,Minimal,Extreme,Extreme,Good,Average,Average,Extreme,fast selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,4,6,6,5,4,7,3,3,3,7,5,4,3,best,average,average,best,average,best,good,best,good,good,average,best,good,poor,average,poor,poor,poor,average,poor,average,excellent,average,poor,poor,excellent,49,14,125,450,387,285,294,242,169,126,237,265,152,24,9,30,20,40,47,24,48,34,8,8,6,46,42,20,28,18,42,36,7,10,36,40,47,38,29,21,7,21,77,37,45,54,32,10,47,30,69,15,very often,rare,rare,often,very often,very often,rare,often,often,rare,often,very often,often,163.0,46.0,416.0,1500.0,1290.0,950.0,980.0,806.0,563.0,420.0,790.0,883.0,506.0
Parle-G,Foods and Beverages,487,490,182,341,368,467,365,278,481,77,98,314,390,169,194,87,128,175,232,148,86,171,29,24,130,180,best,best,good,good,best,best,best,good,best,average,average,good,best,Good,Extreme,Good,Minimal,Average,Average,Minimal,Average,Extreme,Extreme,Average,Extreme,Good,fast selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,2,5,2,2,3,2,4,6,3,2,7,4,3,good,best,average,average,average,average,average,best,good,best,best,average,best,poor,poor,excellent,average,excellent,excellent,average,average,poor,poor,poor,excellent,excellent,290,227,439,486,432,405,431,487,92,382,363,467,87,39,46,15,22,22,14,11,25,29,11,7,19,9,47,17,15,45,31,12,28,8,9,24,48,36,24,56,62,86,13,52,56,4,89,37,33,12,69,45,often,rare,often,very often,often,rare,often,often,very often,rare,very often,rare,often,966.0,756.0,1463.0,1620.0,1440.0,1350.0,1436.0,1623.0,306.0,1273.0,1210.0,1556.0,290.0
Amul Butter,Foods and Beverages,405,388,241,120,252,195,181,407,454,323,353,277,445,110,162,89,34,107,75,81,165,167,118,109,111,177,best,best,good,average,good,good,good,best,best,best,best,good,best,Average,Good,Good,Minimal,Good,Minimal,Minimal,Good,Good,Extreme,Extreme,Minimal,Average,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,3,5,4,7,3,2,3,4,4,4,4,3,4,good,average,average,best,good,best,average,average,good,good,good,best,good,average,excellent,excellent,poor,average,average,poor,poor,average,excellent,average,average,poor,463,466,220,58,303,79,231,111,500,65,489,373,121,16,42,41,25,20,46,43,17,14,49,8,29,22,28,45,30,25,25,16,36,14,7,40,7,16,40,12,43,12,56,81,98,3,88,76,83,65,20,95,often,rare,often,often,often,rare,rare,very often,very often,rare,often,very often,rare,1543.0,1553.0,733.0,193.0,1010.0,263.0,770.0,370.0,1666.0,216.0,1630.0,1243.0,403.0
Haldiram's Namkeen,Foods and Beverages,499,195,179,236,392,303,274,444,381,231,117,296,334,196,95,86,68,106,103,124,221,145,103,47,109,149,best,good,good,good,best,good,good,best,best,good,average,good,good,Average,Good,Good,Average,Average,Good,Good,Average,Extreme,Extreme,Minimal,Minimal,Good,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,3,7,3,7,5,5,4,2,6,7,2,5,4,best,good,best,best,average,best,best,good,average,good,best,good,average,poor,excellent,average,average,average,average,poor,average,excellent,average,excellent,poor,poor,451,144,173,253,378,490,91,97,14,271,439,296,462,7,45,21,8,33,45,11,39,28,41,7,37,47,45,11,6,17,44,34,31,39,6,24,21,42,48,47,78,63,70,67,38,10,52,74,49,28,21,27,often,rare,very often,very often,rare,rare,very often,rare,rare,very often,often,rare,often,1503.0,480.0,576.0,843.0,1260.0,1633.0,303.0,323.0,46.0,903.0,1463.0,986.0,1540.0
Britannia Bread,Foods and Beverages,434,412,482,210,247,255,128,498,402,200,258,232,50,124,151,199,103,123,97,41,153,142,59,94,82,25,best,best,best,good,good,good,average,best,best,good,good,good,average,Average,Good,Average,Good,Average,Average,Minimal,Minimal,Extreme,Average,Extreme,Average,Good,fast selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,2,5,5,2,6,5,5,4,5,6,2,4,6,good,average,good,best,average,average,average,average,good,good,good,best,best,excellent,average,excellent,excellent,excellent,poor,poor,average,excellent,excellent,excellent,poor,poor,265,191,269,48,446,230,322,267,129,387,231,245,354,11,37,8,13,11,6,7,32,18,26,19,41,37,28,35,8,41,17,20,34,42,32,21,30,22,15,12,12,6,6,9,9,12,5,12,8,10,1,3,often,very often,very often,very often,rare,rare,often,often,often,rare,very often,often,very often,883.0,636.0,896.0,160.0,1486.0,766.0,1073.0,890.0,430.0,1290.0,770.0,816.0,1180.0
Lay's Chips,Foods and Beverages,286,426,379,79,345,208,178,340,51,64,172,175,134,104,154,158,20,151,61,61,134,15,17,72,51,59,good,best,best,average,best,good,good,best,average,average,good,good,good,Extreme,Minimal,Average,Minimal,Average,Average,Minimal,Good,Minimal,Extreme,Minimal,Average,Average,fast selling,fast selling,slow selling,fast selling,fast selling,fast selling,slow selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,5,2,4,6,2,3,7,3,3,4,3,2,6,best,best,best,best,average,best,best,best,good,good,best,good,average,poor,average,excellent,excellent,average,excellent,excellent,excellent,poor,excellent,poor,excellent,average,101,187,37,208,464,73,332,53,110,458,279,119,321,41,14,6,31,9,12,17,28,16,35,24,7,16,30,9,30,41,23,33,37,46,12,10,41,20,41,18,6,9,11,30,20,19,28,31,24,13,10,14,often,very often,very often,rare,often,very often,very often,often,often,very often,very often,very often,rare,336.0,623.0,123.0,693.0,1546.0,243.0,1106.0,176.0,366.0,1526.0,930.0,396.0,1070.0
Bournvita,Foods and Beverages,189,79,380,86,294,98,390,130,494,489,429,297,224,80,34,101,27,84,35,153,64,172,170,179,94,94,good,average,best,average,good,average,best,average,best,best,best,good,good,Average,Extreme,Extreme,Extreme,Good,Minimal,Minimal,Good,Extreme,Average,Average,Good,Average,fast selling,slow selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,slow selling,slow selling,fast selling,slow selling,6,5,3,4,2,2,4,5,5,6,6,7,2,average,best,good,average,good,average,best,good,good,average,good,good,average,poor,average,poor,average,poor,excellent,average,average,poor,average,excellent,average,excellent,102,127,213,442,409,378,419,28,135,171,307,305,278,34,50,45,45,23,13,28,18,7,46,31,49,47,23,10,7,29,36,43,18,28,11,37,37,21,7,18,21,30,42,4,52,40,37,47,3,49,39,48,often,often,rare,rare,rare,very often,often,rare,rare,often,often,often,often,340.0,423.0,710.0,1473.0,1363.0,1260.0,1396.0,93.0,450.0,570.0,1023.0,1016.0,926.0
Dairy Milk,Foods and Beverages,308,163,383,127,117,265,199,307,155,213,486,77,470,143,42,184,41,37,100,50,152,65,67,216,31,219,good,good,best,average,average,good,good,good,good,good,best,average,best,Extreme,Good,Minimal,Good,Extreme,Extreme,Extreme,Average,Extreme,Good,Minimal,Extreme,Minimal,fast selling,slow selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,fast selling,6,6,6,3,7,2,4,6,5,7,3,3,4,best,good,good,average,best,best,best,average,good,good,good,average,good,excellent,excellent,average,poor,average,excellent,average,excellent,excellent,average,average,poor,average,236,169,357,331,461,288,209,167,175,163,55,262,425,35,19,11,34,22,43,24,24,16,35,10,35,25,14,18,35,23,19,14,7,18,42,10,38,48,36,41,84,64,11,13,1,25,62,72,80,5,107,40,often,rare,often,very often,very often,rare,often,very often,rare,rare,very often,rare,very often,786.0,563.0,1190.0,1103.0,1536.0,960.0,696.0,556.0,583.0,543.0,183.0,873.0,1416.0
Kurkure,Foods and Beverages,231,172,123,152,471,274,474,313,424,369,238,383,83,90,79,33,38,153,101,145,109,159,114,103,136,38,good,good,average,good,best,good,best,good,best,best,good,best,average,Good,Extreme,Minimal,Extreme,Minimal,Good,Minimal,Good,Minimal,Minimal,Good,Minimal,Extreme,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,6,4,7,7,3,3,2,7,7,5,3,7,5,good,best,good,good,good,best,best,good,best,best,best,average,good,poor,average,average,poor,excellent,excellent,excellent,poor,average,average,poor,poor,excellent,351,305,129,493,13,498,300,492,487,69,223,368,372,40,44,32,43,48,50,33,16,48,34,48,27,25,14,9,9,13,21,17,34,45,48,23,26,33,16,8,11,3,5,7,1,3,5,18,19,1,16,14,often,very often,very often,very often,very often,often,rare,very often,often,rare,often,often,often,1170.0,1016.0,430.0,1643.0,43.0,1660.0,1000.0,1640.0,1623.0,230.0,743.0,1226.0,1240.0
Mother Dairy Milk,Foods and Beverages,133,424,188,447,256,439,449,209,283,204,321,174,213,52,154,52,199,112,152,179,71,110,83,106,80,72,average,best,good,best,good,best,best,good,good,good,best,good,good,Minimal,Good,Extreme,Average,Minimal,Minimal,Extreme,Average,Average,Minimal,Average,Good,Average,slow selling,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,5,5,6,5,5,7,3,3,6,7,4,2,3,good,average,good,average,average,average,best,average,average,best,best,best,best,excellent,poor,excellent,poor,average,poor,average,excellent,average,poor,poor,excellent,poor,466,300,474,81,279,103,336,321,395,162,222,70,123,18,30,35,41,40,15,34,5,48,29,31,32,30,12,15,43,20,13,12,45,9,9,16,45,26,25,2,14,25,35,6,42,12,46,11,42,45,4,13,rare,very often,very often,rare,often,very often,often,very often,often,very often,often,often,rare,1553.0,1000.0,1580.0,270.0,930.0,343.0,1120.0,1070.0,1316.0,540.0,740.0,233.0,410.0
